English Term;Turkish Term
Hypertext transfer protocol secure ;Güvenli bağlantılı metin aktarım kuralı
Hypertext transfer protocol strict transport security;Bağlantılı metin aktarım kuralı eksiksiz taşıma güvenliği
Hypervisor;Üstgözlemci
Hypothesis (alternative);Varsayım (öteki) 
 Hypothesis (null);Varsayım (boş) ( I )
Ia architecture;Yapay zekâ mimarisi
Ia enabled information technology product ;Yapay zekâ destekli bilgi teknolojisi ürünü
Ia enabled product;Yapay zekâ destekli ürün
Ia infrastructure;Yapay zekâ altyapısı
Ia product;Yapay zekâ ürünü
Ict equipment;Bit donatısı
Ict supply chain;Bit tedarik zinciri
Ict supply chain compromise;Bit tedarik zinciri uzlaşması
Ict supply chain infrastructure;Bit tedarik zinciri altyapısı
Ict supply chain logistics;Bit tedarik zinciri lojistiği
Ict supply chain risk;Bit tedarik zinciri riski
Ict supply chain risk management;Bit tedarik zinciri risk yönetimi
Ict supply chain threat;Bit tedarik zinciri tehdidi
Investigate;Soruşturmak
Iot hacking;Nesneağını ele geçirmek
IP address;İnternet protokolü erişim adresi
IP flood attack;İnternet protokolü erişim adresine yığın saldırı
IP forwarding;İnternet protokolü erişim adresi yönlendirme
IP security;İnternet protokolü güvenliği
IP spoofing;İnternet protokolü adresi sahteciliği
IP virtual server;İnternet protokolü adresi sanal sunucusu
IT asset;BT varlığı ITL (information technology laboratory) advanced network technologies division Bilgi teknolojisi laboratuvarı gelişmiş ağ teknolojileri bölümü
ITL applied cybersecurity division;Bilgi teknolojisi laboratuvarı uygulamalı siber güvenlik bölümü
ITL computer security division;Bilgi teknolojisi laboratuvarı bilgisayar güvenliği bölümü
ITL information access division;Bilgi teknolojisi laboratuvarı bilgi erişim bölümü
Ideal random bitstring;Amaçlanan rasgele ikili dizgisi
Ideal random sequence;İdeal rastgele sıra
Identifiable person;Tanımlanabilir kişi
Identification and authentication;Tanımlama ve kimlik doğrulama
Identification error;Tanımlama hatası
Identified information;Tanımlanan bilgi
Identifier;Tanımlayıcı
Identifier lookup;Tanımlayıcı arama
Identify;Tanımlamak
Identifying information;Tanımlama bilgisi
Identity;Kimlik
Identity and access management;Kimlik ve erişim yönetimi
Identity and access management;Kimlik ve erişim yönetimi
Identity and credential management system;Kimlik ve kimlik bilgisi yönetim sistemi
Identity assurance level;Kimlik güvence düzeyi
Identity authentication;Kimlik doğrulama
Identity based access control;Kimlik tabanlı erişim denetimi
Identity based authentication;Kimlik tabanlı doğrulama
Identity based encryption;Kimlik tabanlı şifreleme
Identity binding;Kimlik bağlama
Identity certificate;Kimlik belgesi
Identity cloning;Kimlik eşlemleme
Identity deception;Kimlik aldatması
Identity defined networking;Kimlik tanımlı ağ oluşturma
Identity ecosystem;Kimlik ekosistemi
Identity ecosystem steering group;Kimlik ekosistemi yönlendirme grubu
Identity evidence;Kimlik kanıtı
Identity federation;Kimlik birliği
Identity federation framework;Kimlik birliği çerçevesi
Identity fraud;Kimlik dolandırıcılığı
Identity fraud and identity theft;Kimlik dolandırıcılığı ve kimlik hırsızlığı
Identity guard;Kimlik koruma
Identity key;Kimlik anahtarı
Identity management and governance;Kimlik yönetimi ve yönetişim
Identity management system;Kimlik yönetim sistemi
Identity manager;Kimlik yöneticisi
Identity proofing;Kimlik doğrulama
Identity provider;Kimlik sağlayıcı
Identity registration;Kimlik kaydı
Identity resolving key;Kimlik çözümleme anahtarı
Identity root;Kimlik kökü
Identity service provider;Kimlik hizmet sağlayıcısı
Identity services engine;Kimlik hizmetleri motoru
Identity theft;Kimlik hırsızlığı
Identity token;Kimlik belirteci
Identity verification;Kimlik doğrulama
Identity web services framework;Kimlik bilgiağı hizmetleri çerçevesi
I'm not a robot; Robot değilim
Image;Görüntü
Image authentication;Görüntü doğrulama
Image capturing device;Görüntü yakalama aygıtı
Imaging;Görüntüleme
Immutable;Değişmez
Impact;Etki
Impact level;Etki düzeyi
Impact value;Etki değeri
Implementation;Uygulama
Implementation guidance;Uygulama rehberi
Implementation specification;Uygulama özellikleri
Implementation testing for validation;Geçerleme için uygulama sınaması
Implementation tier;Uygulama katmanı
Implementation under test;Test altında uygulama
Import;İçe aktarmak
In line network device;Hat içi ağ aygıtı
Inadvertent disclosure;Yanlışlıkla açıklama
Incentive mechanism;Özendirme düzeneği
Incident;Olay
Incident detection;Olay saptama
Incident handling;Olay ele alma
Incident handling;Olay ele alma
Incident management;Olay yönetimi
Incident monitoring activity;Olay izleme faaliyeti
Incident object description exchange format ;Olay nesnesi açıklaması değişim biçimi
Incident response;Olay önleme
Incident response plan;Olay müdahale planı
Incident response teams;Olay karşı koyma takımları
Incineration;Yakma
Incomplete gamma function;Eksik gama işlevi
Incremental backup;Artımlı yedekleme
Incremental testing;Artımlı test
Inculpatory evidence;Suçlayıcı kanıt
Indefinite delivery/indefinite quantity ;Belirsiz teslimat/belirsiz miktar
Independent;Bağımsız
Independent and identically distributed ;Bağımsız ve özdeş dağıtılmış
Independent basic service set;Bağımsız temel hizmet öbeği
Independent qualified reviewer;Bağımsız nitelikli inceleyici
Independent regulatory agency;Bağımsız düzenleyici kurum
Independent validation authority;Bağımsız geçerleme yetkisi
Independent verification & validation;Bağımsız doğrulama ve geçerleme
Indications and warnings;Göstergeler ve uyarılar
Indicator;Gösterge
Indicators of compromise;Uzlaşma göstergeleri
Indirect identifier;Dolaylı tanımlayıcı
Individual;Bireysel
Individual;Bireysel
Individual accountability;Bireysel sorumluluk
Individual privacy;Bireysel gizlilik
Individually identifiable health information ;Kişisel olarak tanımlanabilir sağlık bilgisi
Industrial automation and control system ;Endüstriyel otomasyon ve kontrol sistemi
Industrial automation open networking association;Endüstriyel otomasyon açık ağ derneği
Industrial control system;Endüstriyel denetim dizgesi
Industrial control system joint working group ;Endüstriyel kontrol sistemi ortak çalışma topluluğu
Industrial control systems cyber emergency response team ;Endüstriyel kontrol sistemleri siber acil müdahale takımı
Industrial data mining;Endüstriyel veri madenciliği
Industrial internet consortium;Endüstriyel internet birliği
Industrial internet of things;Endüstriyel nesneağı
Industrial personal computer;Endüstriyel kişisel bilgisayar
Industrial security;Endüstriyel güvenlik
Industrial security incident database;Endüstriyel güvenlik olay veritabanı
Industrial scientific and medical;Endüstriyel bilimsel ve tıbbi
Infected with malware;Zararlı yazılımla bulaşmış
Inference;Çıkarım
Inference attack;Çıkarım saldırısı
Inference attack;Çıkarım saldırısı
Infiltration path;Sızma yolu
Information;Bilgi
Information access division;Bilgi erişim bölümü
Information and communication(s) technology ;Bilgi ve iletişim teknolojisi
Information and communications technology;Bilgi ve iletişim teknolojisi
Information assessment methodology;Bilgi değerlendirme metodolojisi
Information assurance;Bilgi güvencesi
Information assurance;Bilgi güvencesi
Information assurance certification and accreditation process;Bilgi güvencesi belgelendirme ve yetkilendirme süreci
Information assurance compliance;Bilgi güvencesi uygunluğu
Information assurance component;Bilgi güvencesi bileşeni
Information assurance manager;Bilgi güvencesi yöneticisi
Information assurance officer;Bilgi güvencesi görevlisi
Information assurance professional;Bilgi güvencesi uzmanı
Information assurance technical framework;Bilgi güvencesi teknik çerçevesi
Information assurance technology analysis center ;Bilgi güvencesi teknoloji analiz merkezi
Information assurance vulnerability alert ;Bilgi güvencesi güvenlik açığı uyarısı
Information assurance vulnerability bulletin;Bilgi güvencesi güvenlik açığı bülteni
Information assurance workforce system architecture;Bilgi güvencesi işgücü sistem mimarisi
Information centric analytics;Bilgi odaklı çözümleme
Information design assurance red team;Bilgi tasarım güvencesi kırmızı takımı
Information domain;Bilgi etki alanı
Information environment;Bilgi ortamı
Information exchange;Bilgi değişimi
Information exchange agreement;Bilgi değişimi sözleşmesi
Information flow control;Bilgi akış denetimi
Information in identifiable form;Tanımlanabilir formdaki bilgi
Information leakage;Bilgi sızıntısı
Information life cycle;Bilgi yaşam döngüsü
Information management;Bilgi yönetimi
Information management policy;Bilgi yönetimi politikası
Information object;Bilgi nesnesi
Information operations;Bilgi işlemleri
Information owner;Bilgi sahibi
Information relevant to cybersecurity;Siber güvenlikle ilgili bilgi
Information reliability;Bilgi güvenilirliği
Information resource management;Bilgi kaynağı yönetimi
Information resources;Bilgi kaynakları
Information retrieval;Bilgi erişimi
Information security;Bilgi güvenliği
Information security and privacy advisory board ;Bilgi güvenliği ve gizliliği danışma kurulu
Information security architect;Bilgi güvenliği mimarı
Information security architecture;Bilgi güvenliği mimarisi
Information security continuous monitoring ;Bilgi güvenliği sürekli izleme
Information security continuous monitoring process;Bilgi güvenliği sürekli izleme süreci
Information security continuous monitoring program;Bilgi güvenliği sürekli izleme programı
Information security continuous monitoring strategy ;Bilgi güvenliği sürekli izleme stratejisi
Information security continuous monitoring target network ;Bilgi güvenliği sürekli izleme hedef ağı
Information security management systems ;Bilgi güvenliği yönetim sistemleri
Information security manual;Bilgi güvenliği el kitabı
Information security marketing;Bilgi güvenliği pazarlaması
Information security officer;Bilgi güvenliği sorumlusu
Information security operations center ;Bilgi güvenliği işlemleri merkezi
Information security oversight office;Bilgi güvenliği gözetim ofisi
Information security policy;Bilgi güvenliği politikası
Information security program plan;Bilgi güvenliği program planı
Information security risk;Bilgi güvenliği riski
Information security risk management;Bilgi güvenliği risk yönetimi
Information security testing;Bilgi güvenliği testi
Information sharing and analysis organization ;Bilgi paylaşımı ve analizi organizasyonu
Information sharing architecture;Bilgi paylaşım mimarisi
Information sharing;Bilgi paylaşımı
Information system resilience;Bilgi sistemi dayanıklılığı
Information systems security operations;Bilgi dizgeleri güvenlik işlemleri
Information technology security certification and accreditation process;Bilgi teknolojileri güvenlik belgelendirme ve yetkilendirme süreci
Information technology;Bilgi teknolojisi
Information warfare;Siber savaş
Infosec registered assessors program ;Bilgi güvenliği kayıtlı değerlendiriciler programı
Infrared;Kızılötesi
Infrared device;Kızılötesi aygıt
Infrastructure as a service;Hizmet olarak altyapı
Infrastructure as code;Kod olarak altyapı
Ingress filtering;Giriş filtreleme
Initial counter block;İlk sayaç bloğu In-line network device Hat içi ağ aygıtı
Input validation attacks;Giriş geçerleme saldırısı
Insecurity;Güvensizlik
Inside information systems security;İç bilgi sistemleri güvenliği
Inside threat;İç tehdit
Insider attack;İçeriden saldırı
Insider threat;İçeriden tehdit
Instant messaging;Anlık mesajlaşma
Institute for defense analyses;Savunma analizleri enstitüsü
Institute of electrical and electronics engineers;Elektrik ve elektronik mühendisleri enstitüsü
Integer factorization cryptography;Tamsayıyı çarpanlara ayırma şifrelemesi
Integer module learning with errors;Hatalı tamsayı modülü öğrenme
Integrated adaptive cyber defense;Bütünleşik uyarlanabilir siber savunma
Integrated circuit card identification;Bütünleşik devre kartı tanımlama
Integrated digital enhanced network;Bütünleşik sayısal gelişmiş ağ
Integrated risk management;Bütünleşik risk yönetimi
Integrity;Bütünleşik
Integrity algorithm;Bütünlük algoritması
Integrity check value;Bütünlük kontrolü değeri
Integrity key;Bütünlük anahtarı
Integrity star property;Bütünlük yıldız özelliği
Intellectual property;Fikri mülkiyet
Intelligence advanced research projects activity ;İstihbarat ileri araştırma projeleri etkinliği
Intelligence community;İstihbarat topluluğu
Intelligence community directive;İstihbarat topluluğu yönergesi
Intelligence community standard;İstihbarat topluluk standardı
Intelligent electronic device;Akıllı elektronik aygıt
Intent;İstem
Inter control center communications protocol;Kontrol merkezleri arası iletişim protokolü
Interactive application security testing;Etkileşimli uygulama güvenlik testi
Interactive authentication;Etkileşimli kimlik doğrulama
Interagency advisory board;Kurumlar arası danışma kurulu
Interagency council on standards policy ;Kurumlar arası standartlar politikası kurulu
Interdependent basic service set ;Birbirine bağlı temel hizmet öbeği
Interface configuration utility;Arayüz yapılandırma yardımcı yazılımı
Interference detection and mitigation;Karışma algılama ve azaltma
Interim approval to operate;Geçici işletme onayı
Interim authorization to test;Test için geçici yetkilendirme
Interior border gateway protocol;İç sınır geçidi kuralı
Interior gateway protocol;İç ağgeçidi kuralı
Intermediate link key;Ara bağlantı anahtarı
Intermediate long term key;Orta uzun süreli anahtar
Intermittent web service;Kesintili bilgiağı hizmeti
Internal bgp;İç sınır ağgeçidi kuralı
Internal border gateway protocol;İç sınır ağgeçidi kuralı
Internal gateway protocol;İç ağgeçidi kuralı
Internal security testing;İç güvenlik sınaması
International association of computer investigative specialists ;Uluslararası bilgisayar araştırma uzmanları birliği
International association of privacy professionals;Uluslararası gizlilik uzmanları birliği
International committee for information technology standards ;Uluslararası bilgi teknolojisi standartları kurulu
International council on large electric systems ;Uluslararası büyük elektrik sistemleri kurulu
International council on systems engineering ;Uluslararası sistem mühendisliği kurulu
International cryptographic module conference ;Uluslararası şifreli modül konferansı
International cybersecurity standardization working group ;Uluslararası siber güvenlik standardizasyon çalışma topluluğu
International data encryption algorithm ;Uluslararası veri şifreleme algoritması
International electrotechnical commission ;Uluslararası elektroteknik kurulu
International federation for information processing ;Uluslararası bilgi işlem federasyonu
International mobile equipment identifier;Uluslararası taşınabilir donanım tanımlayıcısı
International mobile equipment identity ;Uluslararası taşınabilir donanım kimliği
International mobile subscriber identity ;Uluslararası mobil sürdürümcü kimliği
International organization for standardization;Uluslararası standartlaştırma örgütü
International telecommunication union ;Uluslararası telekomünikasyon birliği
International telecommunications union ;Uluslararası uzaktan iletişim birliği
Internet;Genelağ
Internet addiction disorder;İnternet bağımlılığı hastalığı
Internet architecture board;İnternet mimarisi kurulu
Internet assigned number authority ;İnternet atanmış numara yetkilisi
Internet connection firewall;İnternet bağlantısı güvenlik duvarı
Internet connection sharing;İnternet bağlantısı paylaşma
Internet control message protocol;İnternet denetim iletisi kuralı
Internet corporation for assigned names and numbers ;Atanmış ad ve numaralar için internet şirketi
Internet daemon;İnternet arka plan programı
Internet engineering task force;İnternet mühendisliği görev gücü
Internet fibre channel protocol;İnternet fiber kanal kuralı
Internet gateway authentication;İnternet ağ geçidi kimlik doğrulaması
Internet group management protocol ;İnternet grup yönetim kuralı
Internet identity;İnternet kimliği
Internet identity;İnternet kimliği
Internet information server;İnternet bilgi sunucusu
Internet information service;İnternet bilgi servisi
Internet infrastructure protection;İnternet altyapı koruması
Internet key exchange;İnternet anahtar değişimi
Internet message access protocol;İnternet ileti erişim kuralı
Internet message access protocol mail delivery agent;İnternet ileti erişim kuralı posta dağıtım aracısı
Internet message access protocol secure;Güvenli internet ileti erişim kuralı
Internet of things;Nesneağı
Internet protocol;İnternet protokolü
Internet protocol address;İnternet kuralı adresi
Internet protocol security;İnternet protokol güvenliği
Internet protocol;telephony İnternet protokol telefonu Internet protocol version 6 İnternet protokol sürüm 6
Internet relay chat;İnternet aktarımlı söyleşi
Internet security association key management protocol aggressive mode ;İnternet güvenliği birliği anahtar yönetim kuralı etkin modu
Internet security association key management protocol main mode;İnternet güvenliği birliği anahtar yönetim kuralı ana modu
Internet service provider;İnternet servis sağlayıcısı
Internet standard;İnternet standardı
Internet troll;İnternet kışkırtıcısı
Internet trolling;İnternette kışkırtma
Internet worm;İnternet solucanı
Interoperability;Birlikte çalışabilirlik
Interrupt;Kesinti
Interrupted connection;Kesilmiş bağlantı
Intranet;İç ağ
Intrusion;İzinsiz giriş
Intrusion detection;Saldırı testpiti
Intrusion detection and prevention system ;Saldırı tespit ve önleme sistemi
Intrusion detection message exchange format;İzinsiz giriş tespit mesajı değişim formatı
Intrusion prevention system;Saldırı önleme dizgesi
Intrusion tolerance;Saldırıya dayanıklılık
Investigation;Soruşturma
Issue specific policy;Soruna özel politika
Iterated block cipher;Yinelenen blok şifreleme ( J )
Jailbreaking;İzin aşırmak
Jamming attack;Frekans bozma saldırısı
Jitter;Dalga bozulumu
Joint virtual battlespace;Ortak sanal savaş alanı
Journal level proof;Günlük düzeyinde kanıt
Judgmental data;Yargısal veri
Jump server;Atlama sunucusu
Juridical data compliance;Hukuki veri uyumu ( K )
Kerberos;Ağ kimlik doğrulama protokolü
Kernel;Çekirdek
Key;Anahtar
Key distribution;Anahtar dağıtımı
Key encryption key;Anahtar şifreleme anahtarı
Key escrow;Parola dağıtımı
Key generation;Şifre üretimi
Key index;Anahtar dizini
Key management;Anahtar yönetimi
Key pair;Anahtar çifti
Key process variable;Anahtar süreç değişkeni
Key resource;Anahtar kaynağı
Key space;Anahtar seçenek kümesi
Key variable;Anahtar değişken
Keyed hash message authentication code ;Anahtarlı özetlem mesaj kimlik doğrulama kodu
Keyed hash message authentication code message digest;Anahtarlı özetlem mesaj kimlik doğrulama kodu mesaj özeti
Keyed hash message authentication code secure hash algorithm ;Anahtarlı özetlem mesaj kimlik doğrulama kodu güvenli özetlem algoritması
Keying material;Anahtarlama malzemesi
Keylogger;Tuş kaydedici
Keylogging;Tuş kaydetme
Keystroke logger;Tuş vuruşu kaydedicisi
Keystroke logger attack;Tuş kaydedici saldırısı
Keystroke monitoring;Tuş kaydedici izleme
Kill chain;Saldırı aşamaları
Knowledge management;Bilgi yönetimi
Kovter;Tıklama sahtekarlığı ( L )
Land attack;Alandan saldırı
Latent value;Gizil değer
Latent variable;Gizil değişken
Lattice network;Kafes ağ
Lattice techniques;Kafes teknikleri
Lawful intercept;Yasal dinleme
Layer 2 forwarding protocol ;İkinci katman yönlendirme kuralı
Layer 2 tunneling protocol;İkinci katman tünel kuralı
Layer violation;Katman aşımı
Layered assurance;Katmanlı güvence
Layered security;Katmanlı güvenlik
Layering;Katmanlama
Leak;Sızdırmak
Leaked data;Sızdırılmış veri
Leased line;Kiralık hat
Least privilege;En düşük erişim hakkı
Ledger;Kayıt defteri
Legal advice and advocacy;Hukuki danışmanlık ve avukatlık
Legion;Birlik
Level of concern;Kaygı düzeyi
Lightweight directory access protocol;Basit dizin erişim kuralı
Likelihood of occurrence;Gerçekleşme olasılığı
Link jacking;Bağlantı korsanlığı
Link jacking cyber attack;Bağlantı korsanlığıyla siber saldırı
Link state;Bağlantı durumu
Linked open data;Bağlantılı açık veri
List based access control;Liste tabanlı erişim kontrolü
Loadable kernel modules;Yüklenebilir çekirdek modülleri
Local area network;Yerel alan ağı
Local area network denial;Yerel alan ağı engelleme
Lockable commercial cabinet;Kilitlenebilir ticari dolap
Log;Günlük
Log clipping;Günlük kırpma
Log file;Günlük dosyası
Logger;Kaydedici
Logging;Kaydetme
Logging facility;Kaydetme olanağı
Logic bomb;Mantıksal bomba
Logic gate;Mantık kapısı
Logical unit number;Mantıksal birim numarası
Login;Oturum açma
Long haul networks;Uzun mesafeli ağlar
Loopback address;Geri döngü adresi
Low impact;Düşük etki ( M ) Mac (media access control) Ortam erişim denetimi
Machine learning and evolution;Makine öğrenimi ve evrim
Macro virus;Makro virüsü
Mail transfer agent strict transport security ;Posta aktarım aracısı eksiksiz taşıma güvenliği
Mal information;Kötücül bilgi
Malcode;Kötücül yazılım
Malfunction;Arıza
Malicious advertising;Kötücül reklamcılık
Malicious applet;Kötücül uygulama
Malicious code;Kötücül kod
Malicious code infection;Kötücül yazılım bulaşı
Malicious hoax;Kötücül eposta
Malicious logic;Kötücül mantık
Malicious mobile code;Kötücül mobil kod
Malicious online activity;Kötücül çevrimiçi etkinlik
Malicious reconnaissance;Kötücül amaçlı keşif
Malicious software;Kötücül yazılım
Malicious website;Kötücül bilgiağı sayfası
Malleable identity;Değiştirilebilir kimlik
Malvertisement;Kötücül reklam
Malvertising;Kötü amaçlı reklam
Malvertising attack;Zararlı reklam saldırısı
Malware;Kötücül yazılım
Malware advertisement;Kötücül yazılım reklamı
Malware as a service;Hizmet olarak kötücül yazılım
Malware attack;Zararlı yazılım saldırısı
Malware author;Zararlı yazılım yazarı Malware-based attack Kötücül yazılım saldırısı Man ın the middle attack Ortadaki adam saldırısı
Management traffic;Yönetim trafiği
Mandatory access control;Zorunlu erişim kontrolü
Masquerade attack;Maskeli saldırı
Material control system;Malzeme denetim sistemi
Maximum tolerable downtime;En uzun dayanılır kesinti süresi
 Md5 (Message-digest algorithm 5); İleti özeti algoritması 5
Measures of effectiveness;Etkinlik ölçüleri
Media;Medya / ortam
Media access control;Ortam erişim kontrolü
Media destruction;Ortam imhası
Media disposal;Ortam imhası
Media sanitisation;Ortam temizliği Message digest 5 Mesaj özeti 5
Metadata;Üstveri
Mining;Madencilik
Mining big data;Büyük veri madenciliği
Misuse of devices;Cihazların kötüye kullanımı
Mitigation;Azaltma
Mobile code;Mobil kod
Mobile device;Taşınabilir aygıt
Mobile phone malware;Cep telefonu kötücül yazılımı
Moderate impact;Orta etki
Monitoring;Gözlemleme
Monoculture;Tek kültürlü
Morris worm;Morris solucanı
Moving target defense;Hareketli hedef savunması
Multi homed;Çok bağlantılı
Multicast;Çok noktaya yayın
Multifactor authentication;Çoklu kimlik doğrulama
Multifunction device;Çok işlevli aygıt
Multihoming;Çoklu ev sahipliği
Multilevel integrity;Çok düzeyli bozulmazlık
Multilevel security;Çok düzeyli güvenlik
Multiplexing;Çoğullama
Multipurpose internet mail extensions;Çok amaçlı ınternet posta uzantıları
Multisig;Çoklu imza
Multisignature;Çoklu imza ( N )
Name;Ad
Name based virtual hosting;İsim-tabanlı sanal barındırma
Name comparison;Ad karşılaştırması
Name matching;Ad eşleştirme
Name service;Ad hizmeti
National cyber security;Ulusal siber güvenlik
National cyber security incident response center;Ulusal siber olaylara karşı koyma merkezi
National institute of standards and technology;Ulusal standartlar ve teknoloji enstitüsü
Natural disaster;Doğal afet
Near field communication;Yakın alan iletişimi
Need to know;Bilinmesi gereken
Netintelligence;Aile denetim paketi
Netiquette;Ağ görgü kuralı
Netlink;Ağ bağlantısı
Netmask;Ağ maskesi
Netmeeting;E-toplantı
Network access control;Ağ erişim denetimi
Network adapter;Ağ bağdaştırıcısı
Network adapter card;Ağ bağdaştırıcı kartı
Network address;Ağ adresi
Network address translation;Ağ adresi çevirisi
Network as a service;Hizmet olarak ağ
Network attached storage;Ağ ekli depolama
Network based cyber security;Ağ tabanlı siber güvenlik
Network based intrusion detection system ;Ağ tabanlı saldırı tespit sistemi
Network based intrusion prevention system ;Ağ tabanlı saldırı önleme sistemi
Network based intrusion prevention system;Ağ tabanlı izinsiz giriş önleme sistemi
Network based IDs;Ağ tabanlı kimlikler
Network device;Ağ aygıtı
Network flooding attack;Ağ sel saldırısı
Network ID;Ağ kimliği
Network intrusion detection system ;Ağ saldırı saptama dizgesi
Network infrastructure;Ağ altyapısı
Network mapper;Ağ eşleştirici
Network mapping;Ağ eşleme
Network resilience;Ağ dayanıklılığı
Network service provider;Ağ hizmet sağlayıcısı
Network services;Ağ hizmetleri
Network sniffer;Ağ dinleyici
Network sniffing;Ağ dinleme
Network taps;Ağ bağlantıları
Network time protocol;Ağ zaman protokolü
Network traffic analysis;Trafik bilgilerinin çözümlemesi
Network virtualization platform;Ağ sanallaştırma ortamı
Network-based cyber security;Ağ tabanlı siber güvenlik
Networked cloud;Bulut ağı
Neutrino;Sömürü takımı
Non interactive authentication;Etkileşimli olmayan kimlik doğrulama
Non printable character;Yazdırılamayan karakter
Non volatile flash memory media;Kalıcı taşınabilir bellek ortamı
Non volatile media;Kalıcı ortam
Nonrepudiation;İnkar edilemez / yadsınamaz
Null session;Boş oturum ( O )
Obfuscated spam;Gizlenmiş istenmeyen e- posta
Obfuscation;Gizleme
Obfuscation techniques;Gizleme teknikleri
Object;Nesne
Octet;Sekizli
Off hook audio protection;Açıkken ses koruması
Offensive countermeasure;Saldırgan karşı önlem
Offline attack;Çevrimdışı saldırı
One time password;Tek kullanımlık şifre
One way encryption;Tek yönlü şifreleme
One way function;Tek yönlü işlev
Online certificate status protocol;Çevrimiçi sertifika durum protokolü
Online services;Çevrimiçi hizmetler
Open shortest path first;Önce en kısa yolu aç
Open system interconnect;Sistem ara bağlantısını aç
Open systems interconnection;Açık sistem arabağlantısı
Open web application security project;Açık bilgiağı uygulama güvenliği projesi
Operate and maintain;Çalıştırma ve bakım
Operational exercise;Operasyonel tatbikat
Operations technology;Operasyon teknolojisi
Osi (open systems interconnection) layers ;Açık sistemler ara bağlantısı katmanları
Outside threat;Dış tehdit
Outsider attack;Yabancı saldırı
Outsourcing;Dış kaynak kullanımı
Overflow error;Taşma hatası
Overload;Aşırı yüklenme
Overload attack;Aşırı yük saldırısı
Oversight and development;Gözetim ve geliştirme ( P )
Packet;Paket
Packet drop attack;Paket bırakma saldırısı
Packet filtering firewall;Paket filtreleme güvenlik duvarı
Packet internet gropper;Paket internet yoklayıcısı
Packet sniffer;Paket yoklayıcısı
Packet sniffing;Paket yoklama
Packet switched network;Paket anahtarlamalı ağ
Padlock;Siberkilit
Pairwise master key;Çift yönlü ana anahtar
Parasitic viruses;Parazit virüsler
Parental controls;Ebeveyn denetimleri
Partitions;Bölümler
Passive attack;Pasif saldırı
Passphrase;Parola
Passphrase complexity;Parola karmaşıklığı
Password;Parola
Password authentication protocol;Parola doğrulama kuralı
Password cracking;Parola kırma
Password exposing bug;Parola açığa çıkaran hata
Password sniffing;Parola yoklama
Patch;Yama
Patch cable;Yama kablosu
Patch management;Yama yönetimi
Patch panel;Bağlantı paneli
Patching;Yamalama
Payload;Yük
Payment card skimmers;Ödemede kart kopyalama
Pen test;Sızma testi
Pen testing;Sızma testi
Penetration;Sızma
Penetration testing;Sızma testi
Perfect forward secrecy;Kusursuz şletme gizliliği
Perimeter firewall;Sınır güvenlik duvarı
Perimeter security;Sınır güvenliği
Peripheral switch;Çevresel anahtar
Permanent virtual connection;Kalıcı sanal bağlantı
Permanent vulnerability;Kalıcı savunmasızlık
Permissioned ledger;İzin koşullu kayıt defteri
Permissive identity;Her şeye açık kimlik
Permutation;Değişim
Personal firewall;Kişisel güvenlik duvarı
Personal identifiable information;Kişisel tanımlanabilir bilgiler
Pharming;Yanıltıcı yönlendirme
Phishing;Oltalama
Phishing prevention;Oltalama önleme
Phishing training;Oltalama saldırısı eğitimi
Phreaking;İzinsiz telefon ağına girme
Physical security;Fiziksel güvenlik
Piconet;Maviağ / yakın ağ
Piggybacker;Korsan kullanıcı
Ping scan;Erişirlik sınaması
Ping sweep;Erişirlik sınaması
Plaintext;Düz metin
Plan of action and milestones;İş planı ve ana aşamalar
Platform as a service;Hizmet olarak ortam
Platform security;Ortam güvenliği
Point of sale;Satış noktası
Point of sale intrusions;Satış noktası izinsiz girişleri
Point to point protocol;Noktadan noktaya kuralı
Point to point tunneling protocol;Noktadan noktaya tünelleme kuralı
Policy management;Politika yönetimi
Polyinstantiation;Çoklu örnekleme
Polymorphic code;Çok biçimli kod
Polymorphic engine;Çok biçimli motor
Polymorphic malware;Çok biçimli kötücül yazılım
Polymorphic packer;Çok biçimli paketleyici
Polymorphism;Çoklu biçim
Pop up ad;Açılır reklam
Port;Bağlantı noktası
Port information;Bağlantı noktası bilgisi
Port scan;Bağlantı noktası taraması
Port scanning;Bağlantı noktası tarama
Portable document format;Taşınabilir belge biçimi
Position of trust;Güven konumu
Possession;Sahiplik
Posting;Yayınlama
Potential impact;Gizil etki
Potentially unwanted application;Potansiyel olarak istenmeyen uygulama
Preamble;Başlangıç
Precursor;Öncü
Preparedness;Hazır olma Pre-texting Ön-mesajlaşma Pretty good privacy (pgp) Oldukça iyi gizlilik
Privacy;Gizlilik
Privacy policy;Gizlilik politikası
Private addressing;Özel adresleme
Private blockchain;Özel öbekzinciri
Private cloud;Özel bulut
Private key;Özel anahtar
Private network;Özel ağ
Private signing key;Özel oturum anahtarı
Private virtual circuit;Özel sanal devre
Private Virtual Lan;Özel sanal yerel ağ
Privileged account;Ayrıcalıklı hesap
Privileged operating environments;Ayrıcalıklı çalışma ortamları
Privileged user;Ayrıcalıklı kullanıcı
Process hollowing;Kod değiştirme saldırısı
Product;Ürün
Profile;Profil
Program infector;Program bulaştırıcısı
Program policy;Program ilkesi
Promiscuous mode;Karışık mod
Proof of concept;Kavram kanıtlama
Proprietary information;Özel bilgi
Protect and defend;Koru ve savun
Protected area;Korunmuş bölge
Protection profile;Koruma profili
Protective marking;Koruyucu işaretleme
Protective security circular;Koruyucu güvenlik genelgesi
